acc,gc,gc3,TAA_1_a3,TAA_1_a6,TAG_1_a3,TAG_1_a6,TAA_2_t3,TAA_2_t6,TAG_2_t3,TAG_2_t6,TGA_2_t3,TGA_2_t6
AE000511,0.39662726626981054,0.4191618724517428,0.043256997455470736,0.03307888040712468,0.05660377358490566,0.03773584905660377,0.5174938974776241,0.42717656631407647,0.22477064220183487,0.5,0.7251184834123223,0.7946287519747235
AE007869,0.6034284547433684,0.7311585970083159,0.02522935779816514,0.034403669724770644,0.011965811965811967,0.040455840455840456,0.24328593996840442,0.5924170616113744,0.021897810218978103,0.19708029197080293,0.38293650793650796,0.5411706349206349
AE017143,0.38845757471659226,0.29391890480110655,0.07420494699646643,0.08833922261484099,0.19567979669631513,0.34307496823379924,0.7908045977011494,0.7413793103448276,0.6459627329192547,0.6459627329192547,0.8333333333333334,0.8393285371702638
AM236080,0.6210835555518882,0.7736507415282007,0.022130013831258646,0.0338865836791148,0.011760752688172043,0.03696236559139785,0.13496932515337423,0.5286298568507157,0.0443213296398892,0.20221606648199447,0.24349881796690306,0.49540320462306275
AP008957,0.6288871813681345,0.7473278722621476,0.029322548028311426,0,0.06566970091027308,0.09330299089726918,0.0325497287522604,0.24141048824593128,0.2009966777408638,0.4119601328903654,0.11344683808200139,0.3097637248088951
AP012035,0.6833400460913468,0.8560904510936724,0.017881705639614855,0.026134800550206328,0.008656224237427864,0.021022258862324814,0.11282051282051282,0.3811965811965812,0.06369426751592357,0.10191082802547771,0.2603003465537158,0.45475548710050057
AP012337,0.6009152996065423,0.706536052781406,0.016975308641975308,0.021604938271604937,0.05151420543240712,0.07180768029971901,0.1392914653784219,0.32367149758454106,0.03585147247119078,0.14596670934699105,0.38139204545454547,0.45276988636363635
BA000039,0.5465170900150912,0.5816957384305783,0.0174496644295302,0.006711409395973154,0.048125,0.089375,0.3946869070208729,0.48956356736242884,0.4157303370786517,0.5213483146067416,0.6877358490566038,0.6037735849056604
CP000115,0.6313379363704408,0.7755222363083699,0.0195822454308094,0.031331592689295036,0.023979591836734693,0.04081632653061224,0.1605351170568562,0.36789297658862874,0.0851063829787234,0.18085106382978725,0.3306510607168983,0.4425749817117776
CP000264,0.6280918241592904,0.7630262138802939,0.021863117870722433,0.03897338403041825,0.008205893323386795,0.03282357329354718,0.11189801699716714,0.31444759206798867,0.05813953488372093,0.2616279069767442,0.46240963855421685,0.4672289156626506
CP000453,0.6793603279536887,0.866247048766588,0.00778816199376947,0.0264797507788162,0.016088060965283656,0.03895004233700254,0.14931237721021612,0.14931237721021612,0.08074534161490683,0.20186335403726707,0.27710843373493976,0.25937081659973227
CP000667,0.6991731004097996,0.8620988770834117,0.02159827213822894,0.0064794816414686825,0.009603596240294238,0.07907642010625256,0.017543859649122806,0.12440191387559808,0.19019607843137254,0.20392156862745098,0.14880819781688573,0.17999554466473602
CP000879,0.3425629417677404,0.2842026371876244,0.4991587212563096,0.35053280987100394,0.2764830508474576,0.2680084745762712,0.5056254136333554,0.6743878226340172,0.625,0.6973684210526315,0.7275254865616312,0.8118628359592215
CP001099,0.5729078367821824,0.7168703734017206,0.02705749718151071,0.03945885005636979,0.04024767801857585,0.06578947368421052,0.16536661466458658,0.358814352574103,0.09049773755656108,0.248868778280543,0.37367021276595747,0.43351063829787234
CP001322,0.5560082246510775,0.690717299127863,0.09633418584825235,0.11679454390451834,0.043052256532066506,0.04899049881235154,0.32760141093474426,0.39991181657848324,0.05603448275862069,0.16379310344827586,0.2594160909293515,0.34009360374414976
CP001673,0.43598163074204455,0.46096864312140023,0.13570566948130278,0.13811821471652594,0.22268907563025211,0.1949579831932773,0.5270142180094787,0.5687203791469194,0.08681672025723473,0.45980707395498394,0.5502008032128514,0.6569133677567413
CP001739,0.3476793783354113,0.27341819198343065,0.5188819506393101,0.44840915848944396,0.49396735273243436,0.3747338537970192,0.8722397476340694,0.7374943668319063,0.09916201117318436,0.6019553072625698,0.8649532710280374,0.7714953271028038
CP001848,0.5800964137038104,0.6538050270559269,0.0210896309314587,0.016695957820738138,0.05126890540886952,0.05665214047680082,0.18567454798331015,0.31154381084840055,0.15228426395939088,0.3039340101522843,0.2168027503223034,0.5822948001718952
CP002021,0.6457878438149762,0.7999513502779985,0.011627906976744186,0.013565891472868217,0.02506372132540357,0.0318606627017842,0.10815047021943573,0.26959247648902823,0.03968253968253968,0.18452380952380953,0.2054246331702979,0.3810582481102712
CP002162,0.732749911403645,0.9384924020082392,0.009328358208955223,0.0037313432835820895,0.0038549400342661336,0.055539691604797256,0.005319148936170213,0.02526595744680851,0.029850746268656716,0.08208955223880597,0.030114226375908618,0.055036344755970926
CP002395,0.6014569432022895,0.7144570346508217,0.04690117252931323,0.06700167504187604,0.03437094682230869,0.055771725032425425,0.29853479853479853,0.5494505494505495,0.14285714285714285,0.36134453781512604,0.4066481994459834,0.481994459833795
CP002545,0.37193939416007893,0.31756324018160537,0.19383259911894274,0.2588105726872247,0.3009491903964266,0.26744835287548857,0.6670048186659904,0.6992137966015725,0.44656488549618323,0.6393129770992366,0.6927536231884058,0.7904761904761904
CP002786,0.6262662941753714,0.7188198505063954,0.05296343001261034,0.013871374527112233,0.06447775398524863,0.08493932905067808,0.0972644376899696,0.24468085106382978,0.13157894736842105,0.3062200956937799,0.3331829460861719,0.348748026167381
CP003156,0.4076936812836407,0.3673946520145311,0.22743142144638404,0.16508728179551121,0.3481803367734927,0.23465507876154265,0.5654565456545655,0.636963696369637,0.4746335963923337,0.48703494926719276,0.8185011709601874,0.6826697892271663
CP003488,0.4278039587643238,0.3717241172581588,0.08516746411483253,0.10287081339712918,0.07696307852314092,0.25221008840353615,0.7329986307622091,0.5759926973984482,0.5453020134228188,0.5016778523489933,0.8292682926829268,0.7165685449957948
CP003789,0.3668844062178236,0.2449475730934857,0.275,0.27903225806451615,0.1772853185595568,0.24376731301939059,0.7653179190751445,0.8080924855491329,0.5354330708661418,0.6141732283464567,0.8860927152317881,0.8688741721854305
CP005990,0.6433229810222408,0.7705857434949818,0.013888888888888888,0.034722222222222224,0.016706443914081145,0.06841686555290374,0.27741935483870966,0.38387096774193546,0.15246636771300448,0.27802690582959644,0.5160177427304091,0.4820108427796944
CP007446,0.43515517541224646,0.3753514972702181,0.11789652247667515,0.17642069550466496,0.25965858041329737,0.42318059299191374,0.7233333333333334,0.7446666666666667,0.2750455373406193,0.5610200364298725,0.8346627991298042,0.813633067440174
CP009761,0.28960229150273914,0.16897039968783098,0.4695164681149264,0.24036440084092503,0.3328100470957614,0.25745682888540034,0.8408128704487722,0.8611346316680779,0.6638655462184874,0.8151260504201681,0.8584474885844748,0.8333333333333334
FP476056,0.4365059363295206,0.4666223368245591,0.15073529411764705,0.24754901960784315,0.2489704230625234,0.26918757019842754,0.3525314760246451,0.5746048754353067,0.4958904109589041,0.6205479452054794,0.5305973773676542,0.6534725594949005
HG793133,0.28343267473662265,0.1622889161569286,0.46897810218978103,0.4489051094890511,0.47766323024054985,0.3745704467353952,0.8532643826761473,0.8422753716871364,0.7205882352941176,0.6838235294117647,0.8870588235294118,0.9035294117647059
AE000512,0.4646011006727097,0.5254215662609055,0.2718204488778055,0.27556109725685785,0.07668133249528598,0.09868007542426147,0.11208791208791209,0.31868131868131866,0.23770491803278687,0.7131147540983607,0.43260188087774293,0.632183908045977
AE008691,0.3787847063886088,0.33525022973114044,0.602803738317757,0.40420560747663553,0.4013452914798206,0.2787742899850523,0.5171773444753947,0.669452181987001,0.35436893203883496,0.6067961165048543,0.7077669902912621,0.5893203883495146
AE017180,0.6168454707792773,0.7768075741058033,0.06001500375093773,0.056264066016504126,0.049193548387096775,0.07258064516129033,0.18052516411378555,0.2986870897155361,0.06418918918918919,0.28378378378378377,0.2891972993248312,0.37959489872468116
AM260525,0.40824537590823917,0.30676779862324566,0.087248322147651,0.14345637583892618,0.03355704697986577,0.13806327900287632,0.644880174291939,0.7287581699346405,0.3148148148148148,0.5324074074074074,0.9179716629381058,0.87248322147651
AP008971,0.326295328598776,0.2604198216699786,0.44136460554371004,0.2537313432835821,0.32160804020100503,0.2889447236180904,0.6193820224719101,0.7162921348314607,0.61,0.66,0.7114186851211073,0.8442906574394463
AP012044,0.5480359356870546,0.659336745409549,0.08874598070739549,0.10289389067524116,0.0842745438748914,0.15073848827106864,0.2926829268292683,0.42486231313926043,0.1,0.28688524590163933,0.3770306006800151,0.4684548545523234
AP012338,0.7331149115745128,0.9482978045031665,0.011194029850746268,0,0.0007173601147776184,0.00430416068866571,0.002288329519450801,0.020594965675057208,0.007326007326007326,0.003663003663003663,0.03541845187089403,0.10282776349614396
BA000043,0.5306091002789196,0.6186783955595854,0.01051156271899089,0.04204625087596356,0.02002612102742708,0.0805398345668263,0.21846553966189858,0.38751625487646296,0.09743589743589744,0.2358974358974359,0.5134758364312267,0.54182156133829
CP000116,0.6651157523052295,0.8542807938882,0.009779951100244499,0.009779951100244499,0.008729388942774006,0.040252182347235696,0.09795918367346938,0.23265306122448978,0.041666666666666664,0.1388888888888889,0.08301075268817204,0.21333333333333335
CP000267,0.6072278019571556,0.7375119929631778,0.03096330275229358,0.01834862385321101,0.023212045169385194,0.05740276035131744,0.14979757085020243,0.2854251012145749,0.07212713936430318,0.24449877750611246,0.3782578875171468,0.3556241426611797
CP000454,0.6607824819646891,0.8191746450500568,0.017321016166281754,0.006928406466512702,0.05040062031532696,0.055311449987076766,0.0811764705882353,0.13529411764705881,0.0513347022587269,0.14784394250513347,0.24002330323332363,0.17564812117681328
CP000679,0.35702049374823314,0.30400837765721417,0.4887323943661972,0.315962441314554,0.20691906005221933,0.27676240208877284,0.4898093359631821,0.6482577251808022,0.4799107142857143,0.609375,0.7845659163987139,0.6855305466237942
CP000884,0.6736117021943429,0.8609298904271139,0.032044198895027624,0.01878453038674033,0.012247529007305543,0.024065320154705628,0.047979797979797977,0.1776094276094276,0.027884615384615386,0.08461538461538462,0.23279758915118032,0.2822702159718734
CP001100,0.46234782902032884,0.48731147464726493,0.058902275769745646,0.06559571619812583,0.03136531365313653,0.05965559655596556,0.46465448768864176,0.5615567911040509,0.18161434977578475,0.32062780269058294,0.4701492537313433,0.6388059701492538
CP001339,0.6627738077953969,0.8560757603118369,0.00851063829787234,0.019858156028368795,0.020189003436426118,0.04639175257731959,0.08374384236453201,0.16091954022988506,0.0391566265060241,0.18674698795180722,0.3448563098708871,0.2836318200749688
CP001674,0.5575447880091123,0.6473799018118963,0.027186761229314422,0.04846335697399527,0.08263971462544589,0.16171224732461356,0.43023255813953487,0.499031007751938,0.11587301587301588,0.30317460317460315,0.6654601861427094,0.5501551189245087
CP001743,0.6424616057159647,0.8050333999823133,0.03735144312393888,0.023769100169779286,0.02942300343905235,0.07107374856706151,0.07919254658385093,0.08695652173913043,0.04628099173553719,0.11735537190082644,0.16995708154506436,0.2978540772532189
CP001850,0.4489583798453074,0.4424503992133286,0.3044776119402985,0.16218905472636816,0.16782407407407407,0.17476851851851852,0.5747863247863247,0.6495726495726496,0.27040816326530615,0.5561224489795918,0.6987724268177526,0.6411709159584513
CP002026,0.6855199842021552,0.893568089926304,0.019128586609989374,0.025504782146652496,0.013028372900984365,0.01766068326577881,0.12,0.3442857142857143,0.07692307692307693,0.12307692307692308,0.12214885954381753,0.28031212484994
CP002171,0.3465011453110498,0.2766663792360093,0.5063709296838131,0.5115620575743275,0.28689883913764513,0.39552238805970147,0.6601138127263321,0.768753233316089,0.2354948805460751,0.6484641638225256,0.8212471131639723,0.7842956120092379
CP002400,0.5685117579966613,0.6959248725338587,0.04193849021435228,0.0754892823858341,0.03231390652048471,0.08424697057126371,0.19830328738069988,0.41569459172852596,0.06164383561643835,0.2671232876712329,0.2912673056443025,0.47976570820021297
CP002546,0.569385340437131,0.6528798472909643,0.02768729641693811,0.012214983713355049,0.026014865637507146,0.05202973127501429,0.19484240687679083,0.35071633237822347,0.1181702668360864,0.37229987293519695,0.3762296727564746,0.48664926721541857
CP002810,0.7417088058386201,0.9685549402861595,0,0,0.0011655011655011655,0.00675990675990676,0,0.00967741935483871,0.008620689655172414,0.017241379310344827,0.010724499523355576,0.017159199237368923
CP003171,0.6246381500061965,0.7846176647515758,0.03496503496503497,0.04895104895104895,0.04033041788143829,0.11127308066083576,0.15852205005959474,0.19904648390941598,0.032397408207343416,0.19438444924406048,0.27627627627627627,0.37923637923637926
CP003493,0.692551583365033,0.9023270908465141,0.007194244604316547,0.0057553956834532375,0.004165331624479333,0.016661326497917333,0.021505376344086023,0.21505376344086022,0.014423076923076924,0.18269230769230768,0.15740245857830037,0.15793693212185997
CP003837,0.41359856240451104,0.3573864055037145,0.1768033946251768,0.19471947194719472,0.19567027477102414,0.26477935054121565,0.6190644932671864,0.6130403968816442,0.44608879492600423,0.587737843551797,0.7003118797845195,0.6592004536433229
CP006587,0.637161035270863,0.8261324936583938,0.027645376549094377,0.025738798856053385,0.14400514304082287,0.0935390549662488,0.09864146485528648,0.11636148848198465,0.06882591093117409,0.0931174089068826,0.18762972187629723,0.22581984225819843
CP007451,0.4240430929959775,0.42122365256754846,0.19976726144297904,0.14197051978277736,0.20770519262981574,0.19556113902847572,0.4785276073619632,0.5349108968740871,0.3047619047619048,0.5009523809523809,0.4720101781170484,0.7305979643765903
CP010048,0.31314421066266956,0.19210949917490913,0.30787589498806683,0.37708830548926014,0.26842105263157895,0.3131578947368421,0.7572944297082228,0.7771883289124668,0.75,0.8157894736842105,0.889273356401384,0.9065743944636678
FP565575,0.5915579170786656,0.6973001925577461,0.02746566791510612,0.05742821473158552,0.06981858163826278,0.12314458493677845,0.33406593406593404,0.45054945054945056,0.17667844522968199,0.36042402826855124,0.3820366856419987,0.4958886780518659
HG934468,0.46074165434026054,0.5004169672688806,0.3102189781021898,0.24330900243309003,0.132334581772784,0.2034956304619226,0.4658031088082902,0.5202072538860104,0.4261501210653753,0.43341404358353514,0.5790368271954675,0.5937677053824363
AE000513,0.6772065153517473,0.8500543696742433,0.012539184952978056,0.006269592476489028,0.017543859649122806,0.019358741681790685,0.039119804400977995,0.1271393643031785,0.021244309559939303,0.1638846737481032,0.08172177167810356,0.09669369931378664
AE008692,0.4783040375928473,0.45033855618702695,0.05841121495327103,0.07593457943925233,0.0425531914893617,0.057919621749408984,0.7365911799761621,0.66507747318236,0.3511450381679389,0.40076335877862596,0.7744807121661721,0.733679525222552
AE017196,0.3553269386385616,0.2765363875395517,0.4244791666666667,0.3854166666666667,0.342685370741483,0.3046092184368738,0.7004830917874396,0.6654589371980676,0.5648854961832062,0.6030534351145038,0.8484375,0.759375
AM286690,0.5534840821467757,0.6178297857319355,0.046703296703296704,0.04532967032967033,0.11199575371549894,0.13694267515923567,0.43373493975903615,0.44468784227820374,0.23481781376518218,0.340080971659919,0.5896825396825397,0.5384920634920635
